post_id,comment_id,comment_text,lang
A1,10176,😍  😍  😍  🔥  🔥  🔥  🔥  ❤ ️ ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10178,first  ❤ ️,en
A1,10182,"the 3rd picture is how she looks at timothy I'm the bedroom, great for her and him, ayyyyyyyyyy!!!",en
A1,10184,weird position,en
A1,10186,I'm so glad she looks happy  🙌,en
A1,10191,🔥  🔥  🔥 red is available  😍  😍,en
A1,10194,too much filler,en
A1,10197,the heels are tea hunttyyyyy  🔥  😍,en
A1,10199,she’s an icon,en
A1,10200,and the floor too !!,en
A1,10202,I thought it was a bathrobe at first  😂,en
A1,10207,👏  😢  ❤ ️ 😂  😮  👏,most_emoji
A1,10208,🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥,most_emoji
A1,10209,she can do whtevr she wants get a life,en
A1,10210,dressing up would be more interesting if you were going somewhere exciting,en
A1,10211,explain these poses...,en
A1,10212,I was like ohhh  🔥   ❤ ️ yass then I seen the shoes  👞   🦆   😂  😂  😂  😂  😂  😂,en
A1,10214,🔥  🔥  🔥,most_emoji
A1,10218,that wall is very dirty,en
A1,10220,she sold her sole,en
A1,10222,🤢  🤮  🤢  🤮  🤢  🤮  🤢  💩,most_emoji
A1,10223,"I actually really love the shoes and the outfit overall, but of course everyone is entitled to their opinions!!",en
A1,10225,kay  🔥  🔥  🔥  🔥  🔥  🔥  🔥,most_emoji
A1,10226,kylie.what?you and your sisters don't seek my partner approval.yet mom does.what do you and sisters expect!lmao,en
A1,10227,you’re so pretty  🥹,en
A1,10229,😍  ❤ ️,most_emoji
A1,10230,HOT miss jenner,en
A1,10231,🔥  🔥  🔥  🔥  ❤ ️ ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10232,say that to your forehead wrinkles she’s not aging,en
A1,10233,queen ❤ ️ 🔥,en
A1,10234,shera did it first,en
A1,10236,❤ ️ ❤ ️ ❤ ️ 🙌  🙌  😍,most_emoji
A1,10240,💋 firsts,en
A1,10241,I love youuuuu,en
A1,10243,💖  🤩  💎  🔥  🔥  🔥  🔥,most_emoji
A1,10244,V niceee  ❤ ️  🥰,en
A1,10245,look how cute a beautiful flower,en
A1,10248,youz,en
A1,10251,ky is really spoiling her insta lately,en
A1,10252,❤ ️ stunning,en
A1,10253,that elevator looks gross,en
A1,10254,cute  🥰  🍓,en
A1,10255,or wherever that is,en
A1,10256,❤ ️ ❤ ️ ❤ ️ 😍  😍  😍  😍,most_emoji
A1,10257,follow,en
A1,10259,she looks a mess  ☠ ️ ☠ ️,en
A1,10260,she doesn’t look 16 anymore shes grown,en
A1,10261,"I think you are amazing, but whatever your using has stolen allllllll that natural beauty  😢",en
A1,10262,🌶 ️red chilli hot 🌶 ️,en
A1,10266,😂  😂,most_emoji
A1,10270,gorgeous  ❤ ️,en
A1,10271,rowssss  ❤ ️,en
A1,10278,sorry but she’s loosing the grip on photo shoots.  don’t see that effort of style poise on these photos,en
A1,10281,I love u,en
A1,10284,"poor kylie, she hates herself so much.  😭",en
A1,10285,gorgeous  😍  😍  😍  😍,en
A1,10287,QUEEN IN RED ❤ ️‍ 🔥  🔥,en
A1,10292,STUNNING,en
A1,10293,it’s giving him..  💋  ‼ ️,en
A1,10294,what dirty azzzzzz place is she at  😂,en
A1,10295,✌ ️ ❤ ️ 🎵  🎸  😋,most_emoji
A1,10296,what are thooooooose  😭,en
A1,10301,first ❤ ️,en
A1,10305,💖  LBBLBB CBB ROW  💖,en
A1,10309,YOU in red  😮 ‍ 💨  🔥  👏,en
A1,10310,that wall is so nasty & dirty  🤢  🤢,en
A1,10311,granny's hot to trot  😂,en
A1,10313,I love you kizzle  ❤ ️,en
A1,10315,❤ ️ ❤ ️ 😍  😍  😍,most_emoji
A1,10316,kylie why u in the ghetto,en
A1,10317,😍  😍  😍  ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10318,the wall  ick  🤢,en
A1,10320,💜  💜  💜  😍  😍  😍  😍  💜  💜  💜  💜  😍  💜  💜  💜  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  💜  💜  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  💜  💜  😍  😍  😍  😍  😍  😍  😍  😍  😍  💜  💜  😍  💜  💜  💜  😍,most_emoji
A1,10321,hair is so dreamy,en
A1,10322,you appear to be born in 07 and you look older than kylie,en
A1,10323,"no I don't look older than kylie. and I'm not born in 07. that is not my year of born, sorry.",en
A1,10324,I luv kylie but yes I wouldn't need to ID her,en
A1,10325,feel like u inspired this look  ❤ ️,en
A1,10328,shoes need to go bye bye.,en
A1,10336,stunning bbg,en
A1,10338,all I see is dirty walls and floor,en
A1,10340,how does she look older than  ? WTF,en
A1,10341,she looks older than kris  😮,en
A1,10344,🔥  😮,most_emoji
A1,10349,my red queen 😍,en
A1,10353,"went from king kylie, to queen kylie 🔥",en
A1,10354,😍  ❤ ️ 😍  ❤ ️ 😍  ❤ ️ ❤ ️ 😍  ❤ ️ 😍  ❤ ️ 😍  ❤ ️ ❤ ️,most_emoji
A1,10357,who takes these pictures. the poses are awful,en
A1,10359,oooh love this red girl !!  🔥  ❤ ️ 😍,en
A1,10360,you are cute them shoes are not!  😂,en
A1,10361,❤ ️ 🔥,most_emoji
A1,10363,does not even look like young  beautiful kylie.,en
A1,10364,no soportaron tus medias rojas pero tu fashion nunca infashion  🙊  ✨,en
A1,10365,😍  😍,most_emoji
A1,10366,CBCBCB,en
A1,10378,homeless chic,en
A1,10383,"do you ever just have a day where you don't bother wish hair and makeup, sit around eating snacks and watching movies all day?",en
A1,10384,telling my kids this was doña lety  ❤ ️,en
A1,10385,this 😍,en
A1,10386,not an up close beauty…. more of a pull back kinda allure,en
A1,10390,😍  😍  😍  😍  😍,most_emoji
A1,10392,🤲  ✨ ️ 💫  👐  ❤ ️ 🥰  😘  😊,most_emoji
A1,10393,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10394,5+ inches above the struggle like.... 😉,en
A1,10397,😂  😂  😂,most_emoji
A1,10403,❤ ️ 🔥  😍,most_emoji
A1,10405,she’s perfect,en
A1,10406,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10410,first  ❤ ️ ❤ ️ ❤ ️ ❤ ️,en
A1,10411,first  ❤ ️ ❤ ️,en
A1,10412,first  😍,en
A1,10418,first  😍  😍  😍,en
A1,10420,CBBBB  ❤ ️,en
A1,10421,red  ❤ ️ 🔥  😍,en
A1,10422,that’s what she said  🔥  🔥  🔥,en
A1,10424,"you are beautiful, my kylie",en
A1,10431,💅,most_emoji
A1,10433,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10435,🔥  ❤ ️ 💋  🌹,most_emoji
A1,10436,how are you,en
A1,10437,what's your favourite thing about,en
A1,10441,♦ ️ ♦ ️ ♦ ️,most_emoji
A1,10444,😍  😍  😍  😍  😍  😍  😍,most_emoji
A1,10445,🌶 ️,most_emoji
A1,10446,omg you can't even move your face  😵 ‍ 💫,en
A1,10449,🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥,most_emoji
A1,10454,loooooves you for reals,en
A1,10460,michelle and high heels  👠  are very good for the heart  ❤,en
A1,10462,yesss   ❤ ️ ❤ ️ ❤ ️,en
A1,10463,queen  ❤ ️,en
A1,10465,her face doesn’t move ….,en
A1,10468,stunning in red ❤ ️,en
A1,10469,does this make your life better in any way?,en
A1,10470,love u  ❤ ️‍ 🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥,most_emoji
A1,10471,✨  💛  💛  💛  💛  💛  💛  💛  👑  💛  💛  💛  💛  💛  💛  💛  ✨,most_emoji
A1,10472,you have lost so much weight  😭,en
A1,10473,love ❤ ️,en
A1,10475,beautiful,en
A1,10476,the music,en
A1,10479,❤ ️ ❤ ️ 💋,most_emoji
A1,10480,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10481,change your hairstyle its makes you a lil older,en
A1,10495,😍  😍  😍  😍  😍  👏  👏  🔥  🔥  👏  😍  👏  🔥  🔥  ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10496,❤ ️‍ 🩹,most_emoji
A1,10497,"there are some things that even kylie jenner, can’t get away with. this outfit is horrendous especially those shoes",en
A1,10498,♥ ️,most_emoji
A1,10500,flirty red...,en
A1,10501,💖,most_emoji
A1,10507,😮  😍,most_emoji
A1,10508,♥ ️ ♥ ️ ♥ ️,most_emoji
A1,10509,wtf is this? you on drugs?,en
A1,10511,KYLIE LINDAAAA EU TE AMO MARAVILHOSA 😍  😍  ❤ ️ ❤ ️,en
A1,10515,beautiful woman i want you,en
A1,10518,🧡  🧡  🧡,most_emoji
A1,10521,background  😮  ?!! for modelling ! appalling,en
A1,10522,you can’t stop yourself. been posting since every other minute,en
A1,10523,stunning  🔥,en
A1,10525,red on you>>>>>>>>,en
A1,10526,🔥  😍,most_emoji
A1,10528,🙏  ❤ ️ ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10530,gorgeous  😍  👄  ❤ ️,en
A1,10532,I love this outfit  🤣  🤣,en
A1,10533,👏  👏,most_emoji
A1,10537,I was thinking the same thing man she's only 26. this isn't hating either but I wouldn't even ID her,en
A1,10541,💞  💞,most_emoji
A1,10545,FIRST  ❤ ️ ❤ ️,en
A1,10546,😍  💜  💓  💓  💓  💓  💓  🌹  🌹  🌹  💋,most_emoji
A1,10548,love this era of kylie not giving af,en
A1,10549,🙌  🙌  🙌  🙌,most_emoji
A1,10554,gorgeous so beautiful oh my goodness ❤ ️ ❤ ️,en
A1,10558,😘  😘  😘,most_emoji
A1,10560,kylie trying to prove in the last video that she doesnt have any wrinkles  😢  😢  but still looks mature,en
A1,10562,❤ ️ ❤ ️ ❤ ️ 🔥  🔥,most_emoji
A1,10566,🔥  🔥  🔥  🔥  🔥,most_emoji
A1,10572,love  you are stunning,en
A1,10573,😢,most_emoji
A1,10574,🔥  🔥  🔥  😘  😘  😘  🥰  🥰  🥰  ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10575,woman crush  😍  😍  😍,en
A1,10576,could I have the jacket  🙏  🏻,en
A1,10579,"smile kylie, you look cute when you smile and looks good on you  😍",en
A1,10580,why you keep posting this for attention??,en
A1,10581,this isn’t moco space,en
A1,10583,wrap it up there.... 😇,en
A1,10584,PRETTY IN RED ❤ ️,en
A1,10588,first row  🔥,en
A1,10599,😮 ‍ 💨  😮 ‍ 💨  😮 ‍ 💨,most_emoji
A1,10601,CB CB CB,en
A1,10604,A vision in red ❤ ️‍ 🔥,en
A1,10605,you’re one to talk behind all those filters,en
A1,10606,only bad bitches get it. pretty from all angles,en
A1,10607,stunning  😮 ‍ 💨  ❤ ️,en
A1,10611,sexy mama  🔥,en
A1,10612,gorgeous glam & dazzling,en
A1,10613,your beauty is a source of strength for me,en
A1,10618,😘,most_emoji
A1,10622,😍  😍  😍  🔥  🔥,most_emoji
A1,10623,🔥  🔥  🔥  😍  😍  😍  ❤ ️ ❤ ️,most_emoji
A1,10624,always our khy!,en
A1,10625,looks like a hostel I lived in.,en
A1,10632,😍  🖖  😘,most_emoji
A1,10640,🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥,most_emoji
A1,10642,and your pfp picture is reflection of your real face,en
A1,10645,I always wonder why ppl like you be hating on her and still gain her engagement by commenting every hers photo,en
A1,10649,so a photographer just follows you around 24/7? so boring.,en
A1,10650,FIRST COMMENT,en
A1,10654,💞  💚  👛  💫  👛  🌟  👛  💙  🧡,most_emoji
A1,10668,🛥 ️,most_emoji
A1,10670,❤ ️ ❤ ️🇫🇷🇫🇷,most_emoji
A1,10672,im gonna comment this on your next post,en
A1,10674,stunning  ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,en
A1,10675,😍  😍  🔥  😍  🔥  😍  🔥  😍  🔥  😍  🔥  😍,most_emoji
A1,10676,🔥  🔥  😍  🔥  😍  🔥  😍  🔥  🔥,most_emoji
A1,10677,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10678,🔥  😍  🔥  🔥  😍  🔥  😍  🔥  🔥  😍  😍  🔥  🔥  🔥  😍,most_emoji
A1,10679,🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥,most_emoji
A1,10680,coked out kylie,en
A1,10682,🍒  🍒  🍒  🍒  🍒  🍒,most_emoji
A1,10708,🖤,most_emoji
A1,10713,I love you kylie  😍  😍  😍  😍  😍  😍,en
A1,10716,gorgeous  😍,en
A1,10717,my girl  ❤ ️,en
A1,10722,lbfirst,en
A1,10723,my eyes is in the dirty cracked wall straight away,en
A1,10725,more red coat action - this time with tights!!,en
A1,10726,sexy queen beautiful,en
A1,10727,is she in a crack house  😂  💀  cuz I wouldn’t even lean on a wall that mf dirty  😭,en
A1,10731,🔥  🔥  🔥  🔥  😍  😍,most_emoji
A1,10733,🤣,most_emoji
A1,10735,FIRST  🔥,en
A1,10737,I swear you remind me of my talulah   that’s a compliment  ❤ ️,en
A1,10738,okkkaayy gorgeous  😍  😍  🙌,en
A1,10742,🔥   ❤ ️ 💚  💛,most_emoji
A1,10743,omg ❤ ️,en
A1,10746,nights blessed,en
A1,10749,❤ ️ 😍,most_emoji
A1,10752,nowww kylie. those shoes girl,en
A1,10753,she is the moment!,en
A1,10758,babe  ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10759,🔥  ❤ ️ 🔥,most_emoji
A1,10761,we love kylieee,en
A1,10772,gorgeous 😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍,en
A1,10773,queen 💖  💖  💖  💖  💖  💖  💖  💖  💖  💖  💖,most_emoji
A1,10776,kendall gives model all the other sisters wanna be like her,en
A1,10780,very beautiful and looking gorgeous dear friend  🌹  🌹,en
A1,10786,😻  😻  😻,most_emoji
A1,10787,ifirsttt,en
A1,10788,the prettiest ever,en
A1,10793,looks like you’ve sold your soul now :(((,en
A1,10794,🔥  🔥  🔥  🥵  🖤  🖤  🥵  🔥  🔥  🔥,most_emoji
A1,10795,girl please stop looking down! get another pose where we can see your face naturally. ishhhh ain’t cute!!! 🙄,en
A1,10797,♥ ︎ ♥ ︎ ♥ ︎🇧🇷,most_emoji
A1,10802,so pretty ✨ ️.,en
A1,10803,I love you babe  ❤ ️,en
A1,10810,my love,en
A1,10811,I would treasure her. 🙏  ❤ ️,en
A1,10812,queen ❤ ️,en
A1,10816,💌  💧,most_emoji
A1,10818,you wash it with red color 🔥 loveeee 😍,en
A1,10820,first  ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,en
A1,10821,so pretty  😍,en
A1,10822,🫶  🏻,most_emoji
A1,10825,you should do this look 😍,en
A1,10826,are you knocking on my door?,en
A1,10829,❤ ️ ❤ ️‍ 🔥  🔥  ❤ ️ ❤ ️‍ 🔥  🔥  🤗  💯,most_emoji
A1,10831,i love u honey  ❤ ️‍ 🔥,en
A1,10834,I literally know you and I would be best friends,en
A1,10835,👊  🏿  🙏  🏿  😍  🔥  🔥,most_emoji
A1,10837,❤ ️ ❤ ️ 🔥  🔥,most_emoji
A1,10838,what? she looks like she’s been 22 for the past 4 years and still does,en
A1,10840,so beautiful kylie  🔥  ❤ ️ ❤ ️ ❤ ️,en
A1,10841,❤ ️ the queen  ❤ ️,en
A1,10842,so hot nights  🧿  🌹  ♥ ️ ♥ ️ ♥ ️ ❣ ️ 😍,en
A1,10843,🤤,most_emoji
A1,10844,who’s behind the smile?!?  ❤ ️,en
A1,10845,love u  ❤ ️,en
A1,10849,it’s giving elmo  ❤ ️,en
A1,10851,I want this coat  😍,en
A1,10854,FIRST  🙌,en
A1,10855,💰  💰  💰  💰  💰  💰  💰  💰  💰,most_emoji
A1,10856,finest on the gram  😍  😍  😍  😍,en
A1,10858,besides her gorgeous self that’s the first I noticed was the wall & baseboards dirty cracked & just overall icky,en
A1,10859,👃  🏻,most_emoji
A1,10860,"omg!! what is wrong with kylie??? if that is suppose to be pose, shes definitely needs modeling lessons 🤦 ‍ ♀ ️ scary.",en
A1,10865,beware the lady in red  ❤ ️,en
A1,10868,🙂,most_emoji
A1,10876,so pretty what,en
A1,10878,this is how I used to dress my sims,en
A1,10879,okkkkkk stunning,en
A1,10880,"absolutely sexy, gorgeous and sensual, baby kylie jenner 💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋  💋",en
A1,10882,❤ ️ 💃  ❤ ️,most_emoji
A1,10883,princess  ❤ ️ 🔥,en
A1,10884,gorgeous  😍  😍,en
A1,10885,why are you copying my wife???,en
A1,10886,❤ ️ ❤ ️‍ 🔥  ❤ ️,most_emoji
A1,10887,igualita a betty boop 😂  😂  😍  😍  😍  😍  😍,en
A1,10890,en el vid  😂  😂  😂  😂  🤍  😶 ‍ 🌫 ️ 🤍  😶 ‍ 🌫 ️ 🤗  🤗  🤗  💘  💞  💘  💞  💝  💝  💝  🥰  🥰  🥰  💘  💞  💘  💞  😘  😘  😘  😘  😘  😘  😘  😘  😘  😘  🌹  🌹  🌹  🌹  🌹  🌹  🌹  🌹  🏝 🇵🇷,most_emoji
A1,10893,"I love you my love... hell, I wrote to you,,,",en
A1,10895,beautiful kylie!,en
A1,10900,🌹,most_emoji
A1,10902,👏  👏  👏,most_emoji
A1,10905,hotness overloaded  🔥  🔥  🔥  ❤ ️ ❤ ️,en
A1,10907,lovely in red  🥰,en
A1,10909,😍  😍  😍  😍  😍  😍  😍  😍  😍,most_emoji
A1,10913,stunning,en
A1,10914,gorgeous girl  ❤ ️ 😍,en
A1,10917,💪  🏻  💪  🏻,most_emoji
A1,10922,you have been hurting the game in that red  ♥ ️ I like it,en
A1,10925,congratulation kylie.!,en
A1,10930,👏  👏  👏  🔥  🔥  ❤ ️ ❤ ️,most_emoji
A1,10934,gorgeous,en
A1,10937,🔥  🔥  🔥  ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10939,coat of my dreams  😍,en
A1,10942,art ©,en
A1,10944,❤ ️ ❤ ️ ❤ ️ so cute baby  💞,en
A1,10945,take me too the heavens and back  ❤ ️,en
A1,10947,the real sweet angel is you  🥹  💞,en
A1,10949,💥  🪐  🌶  🌟  ✨ 🇧🇷⚘,most_emoji
A1,10950,👎  🏿  👉  🏿  👱  🏻 ‍ ♀ ️ 💩  🤮  😈  📷,most_emoji
A1,10951,❤ ️‍ 🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥  🤩  💐  😍  🌹  😘,most_emoji
A1,10953,first  ❤ ️  ❤ ️  ❤ ️  ❤ ️  ❤ ️  ❤ ️,most_emoji
A1,10954,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,most_emoji
A1,10955,lord your face,en
A1,10961,kylie kicked you out and made you stumble to da CAR!!!!!,en
A1,10962,very sexy & beautiful! I love the coat!,en
A1,10963,🎒  I found your backpack  🙂,en
A1,10964,❣,most_emoji
A1,10967,cute smile  👏  ❤ ️pretty  ❤ ️ 👏,en
A1,10968,looking like a ketchup stain on the wall  🚨,en
A1,10972,and what was underneath?,en
A1,10973,❤ ️ 💋,most_emoji
A1,10974,beautiful .. miss  👁  ✨ ️ 😘 .gold red .,en
A1,10976,slaying these h 🔥 es!!  😍,en
A1,10977,2 day in red what à new  🔥  🔥  😍  ❤ ️,en
A1,10979,why not,en
A1,10980,gorgeous!,en
A1,10982,roubou teu look do fantástico,en
A1,10984,😮,most_emoji
A1,10985,😍  😍  ☄ ️ ❤ ️‍ 🔥  😁  😃  ⭐ ️ 🧨  🔥  🔥  🔥,most_emoji
A1,10987,gorgeous queen,en
A1,10988,👑,most_emoji
A1,10989,beautiful  🔥  🔥  love this outfit  😍,en
A1,10991,definitely the spot for covert freaking  😏  😛  😘  🤫,en
A1,10994,love you down kylesss 😍,en
A1,10995,what abandoned building she bust in to,en
A1,10996,thand lag jani aa sweater pa la hor,en
A1,10997,gorgeous  😍  😍  😍,en
A1,10998,🔥  ❤ ️ 😍,most_emoji
A1,10999,duckbill shoes thaz different. lucky she can pull off anything,en
A1,11002,my beautiful heart ❤ ️,en
A1,11003,oh baby I love jacquemus!!!!! oh baby I am in love with all of your beautiful and breathtaking photos and videos wearing jacquemus!!!! simply stunning!!! oh baby you are always so beautiful and perfect and I love you so much!!!! 😍  😍  🥰  🥰  🧡  🧡  🧡  🧡  🔥  🔥  🔥  ❤ ️ ❤ ️ ❤ ️ 🔥  🔥  🔥  🧡  🧡  🧡  🧡  🌞  💛  💛  🌊  🌊  🌹  🌹  💄  💄  💐  💐  🌷  🌷  🌼  🌼,en
A1,11004,everythinggggggg,en
A1,11008,this is giving everything,en
A1,11013,🚶 ‍ ♀ ️ 🫠  🩷  ❤ ️ 💃,most_emoji
A1,11014,isn’t that the point of a post ?  😂,en
A1,11015,god is with you! there are great things to look forward to in life!  ❤ ️! sending you love!,en
A1,11020,you are the coolest  🪭,en
A1,11021,🦞  💌  ❤ ️,most_emoji
A1,11022,gorgeous head to toe in red  ❤ ️,en
A1,11024,🙌  🔥  🙌,most_emoji
A1,11026,it’s ariel!,en
